code_module,code_presentation,id_student,probability
AAA,2013J,11391,0.08
AAA,2013J,28400,0.088
AAA,2013J,31604,0.02
AAA,2013J,32885,0.229
AAA,2013J,38053,0.081
AAA,2013J,45462,0.099
AAA,2013J,45642,0.08
AAA,2013J,52130,0.075
AAA,2013J,53025,0.052
AAA,2013J,57506,0.069
AAA,2013J,58873,0.097
AAA,2013J,59185,0.062
AAA,2013J,62155,0.04
AAA,2013J,63400,0.152
AAA,2013J,65002,0.714
AAA,2013J,70464,0.126
AAA,2013J,71361,0.031
AAA,2013J,74372,0.955
AAA,2013J,75091,0.08
AAA,2013J,77367,0.067
AAA,2013J,91265,0.078
AAA,2013J,94961,0.982
AAA,2013J,98094,0.358
AAA,2013J,100893,0.076
AAA,2013J,101781,0.081
AAA,2013J,102806,0.019
AAA,2013J,102952,0.088
AAA,2013J,104476,0.128
AAA,2013J,106247,0.807
AAA,2013J,106577,0.189
AAA,2013J,110175,0.105
AAA,2013J,111717,0.191
AAA,2013J,113295,0.226
AAA,2013J,114017,0.301
AAA,2013J,114999,0.05
AAA,2013J,116541,0.121
AAA,2013J,116692,0.046
AAA,2013J,118983,0.1
AAA,2013J,123044,0.179
AAA,2013J,127582,0.121
AAA,2013J,129955,0.678
AAA,2013J,132976,0.174
AAA,2013J,134143,0.137
AAA,2013J,135400,0.81
AAA,2013J,137873,0.053
AAA,2013J,141355,0.063
AAA,2013J,141377,0.974
AAA,2013J,142326,0.258
AAA,2013J,144801,0.083
AAA,2013J,145130,0.24
AAA,2013J,146188,0.813
AAA,2013J,147756,0.773
AAA,2013J,147793,0.972
AAA,2013J,148993,0.768
AAA,2013J,151358,0.221
AAA,2013J,155550,0.09
AAA,2013J,155854,0.032
AAA,2013J,155984,0.77
AAA,2013J,157568,0.052
AAA,2013J,159954,0.69
AAA,2013J,164259,0.108
AAA,2013J,167906,0.101
AAA,2013J,168936,0.107
AAA,2013J,172112,0.144
AAA,2013J,172797,0.137
AAA,2013J,174782,0.019
AAA,2013J,175392,0.052
AAA,2013J,175932,0.041
AAA,2013J,175991,0.906
AAA,2013J,180753,0.077
AAA,2013J,181316,0.952
AAA,2013J,183096,0.129
AAA,2013J,183947,0.255
AAA,2013J,184271,0.061
AAA,2013J,185439,0.985
AAA,2013J,186149,0.146
AAA,2013J,187100,0.074
AAA,2013J,188278,0.952
AAA,2013J,189879,0.095
AAA,2013J,192183,0.079
AAA,2013J,200860,0.161
AAA,2013J,202635,0.401
AAA,2013J,205350,0.076
AAA,2013J,205719,0.751
AAA,2013J,227499,0.035
AAA,2013J,227517,0.685
AAA,2013J,228082,0.138
AAA,2013J,228222,0.236
AAA,2013J,229179,0.289
AAA,2013J,229361,0.049
AAA,2013J,231554,0.072
AAA,2013J,235507,0.986
AAA,2013J,236284,0.117
AAA,2013J,238007,0.052
AAA,2013J,240712,0.15
AAA,2013J,240884,0.151
AAA,2013J,241649,0.046
AAA,2013J,241729,0.802
AAA,2013J,242793,0.111
AAA,2013J,246834,0.121
AAA,2013J,248270,0.106
AAA,2013J,255548,0.066
AAA,2013J,256815,0.132
AAA,2013J,258392,0.167
AAA,2013J,258894,0.337
AAA,2013J,260355,0.813
AAA,2013J,262011,0.095
AAA,2013J,262934,0.024
AAA,2013J,268073,0.67
AAA,2013J,268733,0.992
AAA,2013J,271251,0.105
AAA,2013J,277880,0.786
AAA,2013J,279572,0.088
AAA,2013J,281022,0.119
AAA,2013J,281250,0.821
AAA,2013J,282821,0.352
AAA,2013J,286488,0.321
AAA,2013J,287548,0.257
AAA,2013J,290201,0.09
AAA,2013J,290757,0.177
AAA,2013J,291334,0.178
AAA,2013J,293699,0.23
AAA,2013J,294570,0.068
AAA,2013J,294594,0.126
AAA,2013J,295741,0.365
AAA,2013J,296332,0.055
AAA,2013J,298696,0.126
AAA,2013J,300398,0.087
AAA,2013J,302302,0.797
AAA,2013J,305152,0.992
AAA,2013J,305386,0.377
AAA,2013J,306107,0.153
AAA,2013J,306466,0.052
AAA,2013J,306897,0.13
AAA,2013J,307061,0.033
AAA,2013J,307866,0.157
AAA,2013J,311917,0.132
AAA,2013J,312537,0.065
AAA,2013J,312782,0.125
AAA,2013J,318933,0.055
AAA,2013J,319047,0.036
AAA,2013J,321942,0.033
AAA,2013J,324002,0.148
AAA,2013J,324084,0.176
AAA,2013J,324282,0.217
AAA,2013J,331358,0.903
AAA,2013J,332789,0.033
AAA,2013J,333059,0.108
AAA,2013J,333323,0.08
AAA,2013J,334259,0.994
AAA,2013J,334333,0.985
AAA,2013J,335764,0.689
AAA,2013J,336207,0.059
AAA,2013J,339972,0.566
AAA,2013J,341872,0.831
AAA,2013J,342007,0.975
AAA,2013J,342514,0.045
AAA,2013J,342972,0.111
AAA,2013J,343446,0.047
AAA,2013J,344282,0.486
AAA,2013J,345068,0.13
AAA,2013J,345357,0.023
AAA,2013J,346025,0.143
AAA,2013J,350188,0.05
AAA,2013J,357668,0.332
AAA,2013J,364177,0.755
AAA,2013J,365244,0.12
AAA,2013J,365642,0.042
AAA,2013J,366483,0.057
AAA,2013J,368194,0.202
AAA,2013J,368824,0.776
AAA,2013J,368963,0.175
AAA,2013J,376439,0.068
AAA,2013J,376581,0.089
AAA,2013J,380953,0.074
AAA,2013J,383254,0.238
AAA,2013J,386924,0.208
AAA,2013J,386952,0.074
AAA,2013J,388722,0.431
AAA,2013J,388885,0.105
AAA,2013J,390890,0.723
AAA,2013J,392756,0.938
AAA,2013J,392931,0.113
AAA,2013J,393207,0.103
AAA,2013J,396872,0.119
AAA,2013J,398552,0.429
AAA,2013J,401869,0.125
AAA,2013J,402470,0.03
AAA,2013J,404804,0.205
AAA,2013J,405088,0.061
AAA,2013J,414117,0.234
AAA,2013J,415969,0.798
AAA,2013J,420087,0.728
AAA,2013J,429958,0.141
AAA,2013J,441018,0.149
AAA,2013J,441888,0.11
AAA,2013J,442442,0.783
AAA,2013J,444677,0.035
AAA,2013J,470588,0.997
AAA,2013J,489455,0.045
AAA,2013J,495284,0.073
AAA,2013J,498857,0.187
AAA,2013J,508818,0.097
AAA,2013J,512460,0.085
AAA,2013J,544103,0.021
AAA,2013J,550383,0.181
AAA,2013J,564450,0.788
AAA,2013J,568601,0.726
AAA,2013J,572652,0.089
AAA,2013J,580389,0.042
AAA,2013J,581129,0.961
AAA,2013J,588775,0.04
AAA,2013J,591774,0.063
AAA,2013J,603861,0.771
AAA,2013J,606143,0.727
AAA,2013J,704156,0.093
AAA,2013J,705379,0.039
AAA,2013J,721259,0.981
AAA,2013J,749412,0.049
AAA,2013J,760729,0.025
AAA,2013J,905042,0.137
AAA,2013J,949618,0.09
AAA,2013J,958987,0.098
AAA,2013J,968578,0.107
AAA,2013J,969076,0.691
AAA,2013J,971027,0.046
AAA,2013J,978739,0.283
AAA,2013J,1035023,0.183
AAA,2013J,1105478,0.094
AAA,2013J,1352868,0.403
AAA,2013J,1401935,0.949
AAA,2013J,1402638,0.394
AAA,2013J,1414443,0.845
AAA,2013J,1465690,0.044
AAA,2013J,1472925,0.822
AAA,2013J,1488959,0.095
AAA,2013J,1518989,0.027
AAA,2013J,1618738,0.092
AAA,2013J,1620151,0.948
AAA,2013J,1626710,0.037
AAA,2013J,1640609,0.025
AAA,2013J,1686521,0.999
AAA,2013J,1729319,0.018
AAA,2013J,1746134,0.037
AAA,2013J,1758449,0.692
AAA,2013J,1765788,0.12
AAA,2013J,1801229,0.08
AAA,2013J,1801641,0.052
AAA,2013J,1847830,0.068
AAA,2013J,1860318,0.114
AAA,2013J,1889511,0.053
AAA,2013J,1889577,0.252
AAA,2013J,1894188,0.048
AAA,2013J,1938355,0.097
AAA,2013J,1942396,0.222
AAA,2013J,1970390,0.703
AAA,2013J,1976139,0.102
AAA,2013J,2011876,0.101
AAA,2013J,2012966,0.15
AAA,2013J,2051699,0.068
AAA,2013J,2062879,0.203
AAA,2013J,2065691,0.856
AAA,2013J,2073016,0.794
AAA,2013J,2080474,0.084
AAA,2013J,2083877,0.108
AAA,2013J,2084066,0.724
AAA,2013J,2104505,0.221
AAA,2013J,2122180,0.074
AAA,2013J,2139353,0.773
AAA,2013J,2143752,0.318
AAA,2013J,2146792,0.055
AAA,2013J,2153153,0.092
AAA,2013J,2155014,0.147
AAA,2013J,2164705,0.96
AAA,2013J,2171627,0.043
AAA,2013J,2182846,0.073
AAA,2013J,2194100,0.103
AAA,2013J,2197016,0.033
AAA,2013J,2208424,0.044
AAA,2013J,2229865,0.053
AAA,2013J,2255601,0.798
AAA,2013J,2268379,0.056
AAA,2013J,2278464,0.23
AAA,2013J,2293923,0.161
AAA,2013J,2312620,0.82
AAA,2013J,2329342,0.251
AAA,2013J,2339528,0.139
AAA,2013J,2342426,0.718
AAA,2013J,2344901,0.817
AAA,2013J,2358056,0.739
AAA,2013J,2358969,0.984
AAA,2013J,2364471,0.235
AAA,2013J,2367155,0.072
AAA,2013J,2369266,0.184
AAA,2013J,2376496,0.098
AAA,2013J,2391984,0.74
AAA,2013J,2411661,0.769
AAA,2013J,2411778,0.713
AAA,2013J,2412002,0.121
AAA,2013J,2412967,0.026
AAA,2013J,2429854,0.987
AAA,2013J,2437837,0.096
AAA,2013J,2449878,0.163
AAA,2013J,2456480,0.912
AAA,2013J,2457256,0.111
AAA,2013J,2458355,0.075
AAA,2013J,2460080,0.066
AAA,2013J,2461190,0.765
AAA,2013J,2469673,0.571
AAA,2013J,2470694,0.757
AAA,2013J,2479954,0.238
AAA,2013J,2481901,0.087
AAA,2013J,2482700,0.123
AAA,2013J,2486127,0.047
AAA,2013J,2498700,0.252
AAA,2013J,2516503,0.017
AAA,2013J,2518069,0.028
AAA,2013J,2521459,0.513
AAA,2013J,2523736,0.532
AAA,2013J,2529279,0.077
AAA,2013J,2532302,0.096
AAA,2013J,2536991,0.075
AAA,2013J,2550279,0.128
AAA,2013J,2551220,0.15
AAA,2013J,2552472,0.895
AAA,2013J,2555340,0.02
AAA,2013J,2557283,0.055
AAA,2013J,2559575,0.302
AAA,2013J,2562034,0.16
AAA,2013J,2566163,0.229
AAA,2013J,2566592,0.086
AAA,2013J,2574528,0.218
AAA,2013J,2574583,0.082
AAA,2013J,2576122,0.999
AAA,2013J,2578995,0.029
AAA,2013J,2586560,0.044
AAA,2013J,2594139,0.072
AAA,2013J,2598871,0.048
AAA,2013J,2599352,0.068
AAA,2013J,2600688,0.103
AAA,2013J,2606098,0.12
AAA,2013J,2613116,0.22
AAA,2013J,2617002,0.172
AAA,2013J,2639449,0.272
AAA,2013J,2639540,0.045
AAA,2013J,2639641,0.176
AAA,2013J,2641155,0.04
AAA,2013J,2643002,0.139
AAA,2013J,2645733,0.065
AAA,2013J,2649826,0.024
AAA,2013J,2650282,0.084
AAA,2013J,2664024,0.198
AAA,2013J,2666246,0.296
AAA,2013J,2669816,0.744
AAA,2013J,2671132,0.1
AAA,2013J,2676809,0.887
AAA,2013J,2678643,0.059
AAA,2013J,2685865,0.043
AAA,2013J,2688067,0.186
AAA,2013J,2689958,0.102
AAA,2013J,2691206,0.044
AAA,2013J,2691244,0.618
AAA,2013J,2694424,0.115
AAA,2013J,2698257,0.18
AAA,2014J,6516,0.29
AAA,2014J,24734,0.754
AAA,2014J,26192,0.032
AAA,2014J,28061,0.073
AAA,2014J,31600,0.202
AAA,2014J,46844,0.172
AAA,2014J,52765,0.068
AAA,2014J,55104,0.059
AAA,2014J,58071,0.098
AAA,2014J,58316,0.245
AAA,2014J,62487,0.098
AAA,2014J,63165,0.387
AAA,2014J,70011,0.087
AAA,2014J,75255,0.055
AAA,2014J,79403,0.259
AAA,2014J,85092,0.333
AAA,2014J,85144,0.041
AAA,2014J,85302,0.057
AAA,2014J,87431,0.858
AAA,2014J,94961,0.121
AAA,2014J,95755,0.911
AAA,2014J,101116,0.052
AAA,2014J,107489,0.026
AAA,2014J,108872,0.101
AAA,2014J,109155,0.034
AAA,2014J,117818,0.338
AAA,2014J,119902,0.678
AAA,2014J,121349,0.101
AAA,2014J,124064,0.084
AAA,2014J,125018,0.11
AAA,2014J,129955,0.803
AAA,2014J,130034,0.023
AAA,2014J,130547,0.159
AAA,2014J,130636,0.36
AAA,2014J,131390,0.11
AAA,2014J,133816,0.066
AAA,2014J,133922,0.098
AAA,2014J,135400,0.232
AAA,2014J,135471,0.014
AAA,2014J,139033,0.761
AAA,2014J,141377,0.146
AAA,2014J,141506,0.977
AAA,2014J,146503,0.15
AAA,2014J,147756,0.284
AAA,2014J,148993,0.095
AAA,2014J,149741,0.055
AAA,2014J,149962,0.115
AAA,2014J,151587,0.801
AAA,2014J,152668,1
AAA,2014J,155984,0.104
AAA,2014J,158707,0.69
AAA,2014J,159954,0.818
AAA,2014J,164944,0.124
AAA,2014J,165226,0.969
AAA,2014J,167961,0.05
AAA,2014J,174024,0.136
AAA,2014J,174094,0.055
AAA,2014J,174745,0.144
AAA,2014J,175447,0.03
AAA,2014J,175772,0.739
AAA,2014J,183057,0.233
AAA,2014J,185350,0.803
AAA,2014J,188278,0.03
AAA,2014J,199636,0.049
AAA,2014J,199897,0.121
AAA,2014J,200804,0.075
AAA,2014J,205494,0.138
AAA,2014J,228021,0.012
AAA,2014J,228383,0.077
AAA,2014J,232307,0.145
AAA,2014J,235068,0.11
AAA,2014J,235507,0.289
AAA,2014J,236875,0.27
AAA,2014J,237274,0.038
AAA,2014J,243510,0.864
AAA,2014J,244246,0.207
AAA,2014J,248581,0.03
AAA,2014J,252073,0.192
AAA,2014J,254625,0.067
AAA,2014J,258587,0.036
AAA,2014J,260623,0.072
AAA,2014J,263251,0.056
AAA,2014J,263543,0.083
AAA,2014J,263952,0.28
AAA,2014J,266524,0.26
AAA,2014J,273346,0.026
AAA,2014J,274947,0.836
AAA,2014J,275674,0.79
AAA,2014J,275792,0.217
AAA,2014J,277123,0.786
AAA,2014J,277880,0.901
AAA,2014J,281077,0.244
AAA,2014J,281636,0.015
AAA,2014J,285315,0.035
AAA,2014J,287040,0.037
AAA,2014J,287204,0.101
AAA,2014J,287210,0.073
AAA,2014J,289449,0.132
AAA,2014J,290164,0.099
AAA,2014J,292525,0.056
AAA,2014J,292775,0.07
AAA,2014J,293824,0.12
AAA,2014J,294496,0.293
AAA,2014J,294655,0.729
AAA,2014J,295060,0.788
AAA,2014J,295075,0.18
AAA,2014J,296424,0.044
AAA,2014J,298034,0.68
AAA,2014J,298838,0.036
AAA,2014J,301967,0.119
